u,z
5,-8.95769992303852
-5,-6.16020582377032
5,-3.63553750446361
5,2.58054615375077
-5,13.6974024560949
5,15.8913207305153
-5,16.2161109961965
-5,11.4119969019108
5,-2.09961697122237
-5,-8.78898687147584
-5,-14.0393453861824
-5,-20.0837667490722
5,-27.5998234442879
-5,-26.2421758599973
-5,-21.7946202126843
5,-23.465404257597
5,-17.9597809409787
-5,-2.29219136285882
-5,7.08509427382105
5,4.8968906064484
-5,4.28004112626378
5,1.13893953554999
-5,1.02070426058076
5,-2.95470538297394
-5,-2.39592489349527
-5,-3.95133122139849
-5,-10.4082901767879
-5,-20.4227813803166
-5,-31.4518694301996
-5,-40.961116666584
5,-43.7481989244342
5,-34.7758424274534
5,-13.3517648728614
5,10.9986725946288
5,34.2254788492906
-5,51.3252332818181
5,49.8051699266092
5,42.2799191016565
5,35.7471231287318
5,31.068857892366
-5,30.2359035520298
-5,22.4522478747692
5,5.09962580212766
5,-6.1154803548792
5,-5.15494868807596
-5,3.44946649546423
5,5.77129248048759
-5,7.29253076283323
5,4.79342446214658
5,3.67818968799985
-5,10.1363193357636
-5,11.3102143858741
-5,2.34542160561978
-5,-12.1142003096281
5,-28.9925429106811
-5,-31.0856709804543
5,-29.1634475417357
5,-18.5174899014527
5,-1.03723283719637
-5,17.2562251903979
-5,23.3094367117295
-5,14.5673881907528
5,-0.41301437285202
5,-7.91242734148616
-5,-4.39545459598497
5,-3.76486903057175
5,-0.705734427118227
-5,9.30173949107548
5,10.6124609161528
-5,11.918627742064
-5,7.24056895649111
5,-3.30861992227504
-5,-6.44711069639232
-5,-10.5494464318115
-5,-19.0857612471856
5,-30.7608308687972
-5,-29.6005102014898
-5,-23.694576696721
5,-21.4829423460769
5,-14.343295732351
-5,2.09692527799175
-5,12.0669648965449
5,8.40125260376873
-5,6.33823096151752
5,2.33561146723412
-5,0.910817364206848
5,-2.07378914884774
-5,-0.63734028516643
-5,-1.07695467671595
-5,-9.66268761559612
-5,-21.5692079369961
-5,-32.0879675712339
-5,-40.477524882281
5,-45.3834632020278
5,-36.9203130263152
5,-15.1295321772309
5,11.9395296421551
5,35.7589772923237
-5,50.995859721604
5,49.2693379561744
5,41.313781059927
5,33.7543116103357
5,29.2448168327159
-5,27.1415995813224
-5,18.7755647915335
